ActionID,Date,UserID,Login,ObjectType,ActionType,Sum,IpAddress,Description
6016073,"2018-05-25 05:11:26",244190,OR0902,Счет,"Перевод средств",8000,171.33.251.25,"Перевод средств от ES7310"
6016104,"2018-05-25 05:14:24",244190,OR0902,Счет,"Вступление в матрицу",-8000,194.48.209.204,"Вступление в матрицу"
6016105,"2018-05-25 05:14:24",244190,OR0902,Счет,"Разблокировка средств",8000,194.48.209.204,"Разблокировка средств"
6016113,"2018-05-25 05:14:25",244190,OR0902,Пользователь,"Вступление в матрицу",,unknown,"Enter matrix at Level 4"
6016114,"2018-05-25 05:14:25",244190,OR0902,Пользователь,"Вступление в матрицу",,unknown,"Enter matrix at Level 4"
6016116,"2018-05-25 05:14:53",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6016296,"2018-05-25 05:38:49",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6016311,"2018-05-25 05:43:26",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6023594,"2018-05-25 21:00:31",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6023595,"2018-05-25 21:01:52",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6032388,"2018-05-26 17:21:23",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6032821,"2018-05-26 18:02:10",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6071727,"2018-05-29 13:54:45",244190,OR0902,Пользователь,"Вступление в матрицу",,unknown,"Enter matrix at Level 4"
6111723,"2018-05-31 20:33:31",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6111761,"2018-05-31 20:38:02",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6148717,"2018-06-03 18:06:04",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6148785,"2018-06-03 18:10:30",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6149469,"2018-06-03 19:04:42",244190,OR0902,Счет,"Бонус матрицы",32000,194.48.209.204,"Бонус матрицы"
6149470,"2018-06-03 19:04:42",244190,OR0902,Счет,"Блокировка средств",20000,194.48.209.204,"Блокировка средств"
6149529,"2018-06-03 19:07:20",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6149565,"2018-06-03 19:08:40",244190,OR0902,Счет,"Перевод средств",-5000,194.48.209.204,"Перевод средств LS5345"
6149589,"2018-06-03 19:10:05",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6149676,"2018-06-03 19:16:17",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6149699,"2018-06-03 19:18:23",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6150049,"2018-06-03 19:40:54",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6150142,"2018-06-03 19:47:28",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6150258,"2018-06-03 19:58:00",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6150340,"2018-06-03 20:05:57",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6150351,"2018-06-03 20:07:11",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6150364,"2018-06-03 20:08:23",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6150689,"2018-06-03 20:55:44",244190,OR0902,Счет,"Разблокировка средств",20000,212.48.157.189,"Разблокировка средств"
6153490,"2018-06-04 06:48:29",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6153940,"2018-06-04 07:22:08",244190,OR0902,Счет,"Перевод средств",-3000,194.48.209.204,"Перевод средств ST4111"
6154013,"2018-06-04 07:26:56",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6154663,"2018-06-04 08:04:20",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6154672,"2018-06-04 08:05:14",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6158268,"2018-06-04 12:28:40",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6158277,"2018-06-04 12:28:53",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6167950,"2018-06-05 06:48:01",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6167971,"2018-06-05 06:50:32",244190,OR0902,Счет,"Вывод средств",-3745,194.48.209.204,"Вывод средств"
6167979,"2018-06-05 06:51:04",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6173401,"2018-06-05 12:58:10",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6173419,"2018-06-05 12:59:36",244190,OR0902,Счет,"Перевод средств",-2001,194.48.209.204,"Перевод средств LV4939"
6173423,"2018-06-05 12:59:57",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6173848,"2018-06-05 13:23:25",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6173907,"2018-06-05 13:25:28",244190,OR0902,Счет,"Перевод средств",-3000,194.48.209.204,"Перевод средств OT0420"
6173913,"2018-06-05 13:25:48",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6177738,"2018-06-05 17:54:10",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6177745,"2018-06-05 17:54:36",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6177891,"2018-06-05 18:06:17",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6178168,"2018-06-05 18:21:29",244190,OR0902,Счет,"Перевод средств",-2001,194.48.209.204,"Перевод средств GK9806"
6178187,"2018-06-05 18:22:23",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6179299,"2018-06-05 20:15:38",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6179319,"2018-06-05 20:18:34",244190,OR0902,Счет,"Вывод средств",-3210,194.48.209.204,"Вывод средств"
6179325,"2018-06-05 20:20:23",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6179341,"2018-06-05 20:22:09",244190,OR0902,Счет,"Перевод средств",90,194.48.209.204,"Перевод средств от OR1915"
6179347,"2018-06-05 20:22:59",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6179352,"2018-06-05 20:23:57",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6184709,"2018-06-06 08:55:54",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6184725,"2018-06-06 08:57:04",244190,OR0902,Счет,"Перевод средств",-2001,194.48.209.204,"Перевод средств GF3003"
6184727,"2018-06-06 08:57:12",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6185690,"2018-06-06 10:09:07",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6185708,"2018-06-06 10:10:26",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6194261,"2018-06-06 20:01:30",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6194275,"2018-06-06 20:03:33",244190,OR0902,Счет,"Перевод средств",-2001,194.48.209.204,"Перевод средств IR5646"
6194278,"2018-06-06 20:03:47",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6195084,"2018-06-06 21:05:11",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6195090,"2018-06-06 21:06:31",244190,OR0902,Счет,"Перевод средств",-2001,194.48.209.204,"Перевод средств ES4812"
6195095,"2018-06-06 21:07:09",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6211738,"2018-06-07 18:31:45",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6212863,"2018-06-07 19:24:36",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6213039,"2018-06-07 19:36:26",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6213054,"2018-06-07 19:38:06",244190,OR0902,Счет,"Перевод средств",-4130,194.48.209.204,"Перевод средств OR1915"
6213056,"2018-06-07 19:38:15",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6222936,"2018-06-08 11:32:43",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6223000,"2018-06-08 11:38:02",244190,OR0902,Пользователь,"Выход из личного кабинета",,194.48.209.204,
6223404,"2018-06-08 12:00:24",244190,OR0902,Пользователь,"Вход в личный кабинет",,194.48.209.204,"Login IP: 194.48.*.*"
6223444,"2018-06-08 12:01:40",244190,OR0902,Счет,"Перевод средств",50000,109.171.49.13,"Перевод средств от LS5345"
